,SRX10470966,SRX10470967,SRX10470968,SRX10470969,SRX10470970,SRX10470971,SRX10470972,SRX10470973,SRX10470974,SRX10470975,SRX10470976,SRX10470977,SRX10470978,SRX10470979,SRX10470980,SRX10470981,SRX10470982,SRX10470983,SRX10470984,SRX10470985,SRX10470986,SRX10470987,SRX10470988,SRX10470989,SRX10470990,SRX10470991,SRX10470992,SRX10470993,SRX10470994,SRX10470995,SRX10470996,SRX10470997,SRX10470998,SRX10470999,SRX10471000,SRX10471001,SRX10471002,SRX10471003,SRX10471004,SRX10471005,SRX10471006,SRX10471007,SRX10471008,SRX10471009,SRX10471010,SRX10471011,SRX10471012,SRX10471013,SRX10471014,SRX10471015,SRX10471016,SRX10471017,SRX10471018,SRX10471019
2453,455.267884718471,139.369856863333,291.016210854739,135.037241584385,72.0104397856005,225.898870233621,159.649035487002,180.966472894392,261.24829166057,240.878354658748,1162.21588035726,157.797617866056,396.466701793576,180.421953855131,537.704817754928,236.832869842196,400.681259830457,217.851560266284,270.934855675787,291.447974882978,235.489638951044,186.558124366364,389.579934980168,356.126998392945,94.2558647800573,188.841915006007,136.304966189861,225.666669471448,124.462450748129,281.58786960484,225.099848121659,177.825428234158,251.802663887119,294.132500982721,94.9828066353515,264.750881303808,293.693826929841,212.931086739308,307.307539907624,412.519614914183,293.302912776677,314.125094986708,197.328167288281,270.310967015466,535.797729787664,406.65309419515,346.930771458718,532.637525743966,537.157026859973,326.501774834738,213.739628486663,236.010757725764,259.939137251624,555.200413298091
2454,0,0,0,0,1.0589770556706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2457,0,0.876539980272536,1.04306885611018,0,4.23590822268238,0,0,0,0,0,0.999325778467116,0,0.937273526698761,0,0,0,0,0,0,0,0.844048885129189,0,0,0,0,0,0.927244667958238,0,0,0,0,0,1.92215773959633,0.819310587695601,0,0,0,0.785723567303718,0,1.25385901189721,0,0.972523513890737,0,0,0,0,0,1.62637412440906,0.796968882581562,0.651700149370734,0.929302732550708,0,0,0
2458,0.903309295076332,0,0,0,0,0,0,0,0,0,0.999325778467116,0,0,0,0,0,0,0,0,1.91742088738801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93533206579746,0,0,0,0,0.796968882581562,0,0,0,0,0
2459,0,0,0,0,0,0,0,0,0,0,0,0.663015201117883,0,0,0,0,0,0,0,0,0,0,0,0,1.08340074459836,0,0,0,0,1.05463621574846,0,0,0,0,0,0,0,0,0.832811761267273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908674980847939
2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09960085430456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.785723567303718,0.832811761267273,0,0.943096182561662,0,0,0,0,0,0,0,0,0,0.929302732550708,0,0,0
2466,0,3.50615992109015,2.08613771222035,0,0,0,0,0,1.82054558648481,0,0.999325778467116,2.65206080447153,0,1.21088559634316,1.09960085430456,0,2.23220757565714,0.951316857058008,3.06718704538627,2.87613133108202,1.68809777025838,0,2.16433297211204,1.22802413238947,1.08340074459836,1.77316352118316,0.927244667958238,1.1513605585278,2.82869206245747,1.05463621574846,0,0,1.92215773959633,3.2772423507824,0.989404235784912,1.12182576823647,0,0.785723567303718,3.33124704506909,1.25385901189721,4.71548091280831,0,0,2.80599619739238,1.56209250666957,0,3.29625436065291,2.43956118661358,1.59393776516312,3.25850074685367,1.85860546510142,0,3.29036882596993,1.81734996169588
2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2469,0,0,0,0,0,0,0,0,0.910272793242405,0,0,0,0.937273526698761,0,0,1.08142862941642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82928854768498,0,0,0,0,0,0.824063590163226,0,0,0,0,0,0,0
2471,0,0,0,0,0,0.899995498938728,0,1.02240945138075,0.910272793242405,0.902166122317409,8.99393200620405,0,0,0,0,1.08142862941642,0,0,0,0,0,0,0,1.22802413238947,4.33360297839344,0,0,0,0,1.05463621574846,3.23109829839702,8.60445620487864,3.84431547919265,1.6386211753912,1.97880847156982,1.12182576823647,1.21864658477113,0,0,0,0.943096182561662,0.972523513890737,0,8.41798859217714,4.68627752000872,0,0,0.813187062204528,0,0,0.929302732550708,0,0,2.72602494254382
