,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1427,0,0,0,0,0,0,0,0
1428,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,0
1434,0,0,0,0,0,0,0,0
1435,0,0,0,0,0,0,0,0
1436,0,0,0,0,0,0,0,0
1437,0,0,0,0,0,0,0,0
1438,0,0,0,0,0,0,0,0
1439,0,0,0,0,0,0,0,0
1440,0,0,0,0,0,0,0,0
1443,0,0,0,0,0,0,0,0
1444,0,0,0,0,0,0,0,0
1445,0,0,0,0,0,0,0,0
1446,0,0,0,0,0,0,0,0
1448,0,0,0,0,0,0,0,0
1449,0,0,0,0,0,0,0,0
1450,0,2.02478824955256,0,0,0,0,0,0.840047247244072
1452,0,0,0,0,0,0,0,0
1454,0,0,0,0,0,0,0,0
1455,3.53183645396705,14.1735177468679,3.56837207259946,7.68706690806,9.22507856945936,2.83509313066847,6.30901163249959,4.20023623622036
1458,0,0,0,0,0,0,0,0
1459,0,0,0,0,0,0,0,0
1463,0,0,0,0,0,0,0,0
1464,2.35455763597804,0,0,0,0,0,1.05150193874993,0
1465,0,0,0,0,0,0,0,0
1466,0,0,0,0,0,0,0,0
1467,0,0,0,0,0,0,0,0
1472,0,0,0,0,0.922507856945936,0,0,0
1474,0,0,0,0,0,0,0,0
1475,0,0,1.18945735753315,0,0.922507856945936,0.945031043556156,4.20600775499973,0
1476,0,0,0,0,0,0.945031043556156,0,0.840047247244072
1477,0,0,0,0,0,0,0,0
1478,0,0,0,0,0,0,0,0
1481,9.41823054391214,8.09915299821023,1.18945735753315,2.306120072418,5.53504714167562,2.83509313066847,7.36051357124952,3.36018898897629
1483,0,0,0,0,0,0,0,0
1484,0,0,0,0,0,0,0,0
1488,0,0,0,0,0,0,0,0
1489,0,0,0,0,0,0,0,0.840047247244072
1491,0,0,0,0,0,0,0,0
1493,4.70911527195607,0,2.37891471506631,1.537413381612,0,0,4.20600775499973,0
1494,0,0,4.75782943013261,0,0.922507856945936,0,2.10300387749986,0
1495,1.17727881798902,1.01239412477628,73.7463561670555,2.306120072418,4.61253928472968,0.945031043556156,15.772529081249,0
1496,0,0,0,0,0,0,0,0
1497,0,0,0,0,0,0,0,0
1500,0,0,0,0,0,0,1.05150193874993,0
1501,0,0,0,0,0,0,0,0
1503,0,0,0,0,0,0,0,0
1505,0,0,0,0,0,0,0,0
1506,0,0,0,0,0,0,0,0
1507,0,0,0,0,0,0,0,0
1508,0,0,0,0,0,0,0,0
1509,0,0,0,0,0,0,0,0
1510,0,0,0,0,0,0,0,0
1513,0,0,0,0,0,0,0,0
1514,0,0,0,0,0,0,1.05150193874993,0
1516,0,0,0,0,0,0.945031043556156,0,0
1518,0,0,0,0,0,0,0,0
1519,0,0,0,0,0,0,0,0
1520,0,0,10.7051162177984,9.224480289672,2.76752357083781,0.945031043556156,1.05150193874993,0
1523,0,1.01239412477628,0,0,0,0,0,0
1527,0,0,0,0,0,0,1.05150193874993,0
1528,0,0,0,0,0,0,0,0
1531,0,0,0,0,0,0,0,0
1532,0,0,0,0,0,0,0,0
1535,0,0,0,0,0,0,0,0
1536,0,0,0,0,0,0,0,0
1537,0,0,0,0,0,0,0,0.840047247244072
1538,0,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,0
1542,0,0,0,0,0,0,0,0
1543,0,0,32.1153486533951,3.074826763224,11.0700942833512,2.83509313066847,9.46351744874939,2.52014174173222
1544,0,0,0,0,0,0,0,0
1545,0,0,0,0,0,0,0,0
1549,0,0,0,0,0,0,0,0
1550,0,0,0,0,0,0,0,0
1552,0,0,0,0,0,0,0,0
1553,0,0,0,0,0,0,0,0
1555,0,0,0,0,0,0,0,0
1556,0,0,0,0,1.84501571389187,0,0,0
1557,0,0,0,0,0,0.945031043556156,0,0
1559,0,0,0,0,0,0,0,0
1561,0,0,0,0,0.922507856945936,0,0,0
1563,0,0,0,0,0,0,0,0
