erv,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
1724,0,0,0,0,0,0,0,0
1725,1,0,1,2,5,0,0,0
1727,0,0,0,0,0,0,0,0
1728,0,0,1,0,2,0,0,0
1729,0,0,0,0,0,0,0,0
1731,0,0,0,0,0,0,0,0
1734,0,0,0,0,0,0,0,0
1735,0,0,0,0,0,0,0,0
1737,0,0,3,1,0,0,0,0
1739,0,0,0,0,0,0,0,0
1740,1,0,3,7,2,1,0,3
1741,0,0,0,0,0,0,0,0
1742,2,1,2,3,1,3,3,1
1744,0,0,0,0,0,0,0,1
1745,13,29,6,26,15,15,18,43
1746,0,0,0,0,0,0,0,0
1747,0,0,0,0,0,0,2,0
1748,0,0,0,0,0,0,0,0
1749,0,1,0,1,1,1,0,0
1753,0,0,0,0,0,0,0,1
1756,0,0,0,0,0,0,0,0
1757,0,0,0,0,0,0,0,0
1758,1,0,0,1,0,1,0,1
1759,0,0,0,0,0,0,0,0
1761,0,0,0,0,0,0,0,0
1763,0,0,0,0,0,0,0,0
1764,0,0,0,0,0,0,0,0
1766,0,0,0,0,0,0,0,0
1767,0,0,0,0,0,2,0,0
1768,0,0,0,0,0,0,0,0
1770,0,0,0,0,0,0,0,0
1773,0,0,0,0,0,0,0,0
1774,0,0,0,0,0,0,0,0
1778,0,0,0,0,0,0,0,0
1779,0,0,0,0,0,0,0,0
1782,0,0,0,0,0,0,0,0
1783,0,0,0,0,0,0,0,0
1785,0,0,0,0,0,0,0,0
1788,0,0,0,0,0,0,0,0
1790,0,0,0,0,0,0,0,0
1791,0,0,0,0,0,0,0,0
1793,0,0,0,0,0,0,0,0
1795,0,0,0,0,2,0,0,0
1797,3,0,0,0,3,0,0,0
1798,0,0,0,0,0,0,0,0
1799,0,0,0,0,0,0,0,0
1805,0,0,0,0,0,0,0,0
1806,0,0,0,0,0,0,0,0
1811,0,0,0,0,0,0,0,0
1812,0,0,0,0,0,0,0,0
1813,0,0,0,0,0,0,0,0
1814,0,0,0,0,0,0,0,0
1818,0,0,0,0,0,0,0,0
1822,0,0,0,0,0,0,0,0
1823,0,0,0,0,0,0,0,0
1824,1,5,2,7,5,5,2,3
1827,0,0,0,0,0,0,0,0
1829,0,0,0,0,0,0,0,0
1830,0,0,0,0,0,0,0,0
1831,0,0,0,0,0,0,0,0
